list	taxes	beds	bath	fees	taxes+	rent	city	address	notes	link
539000	2814	4	3	0	80	650	Mississauga	1396 Freeport Dr	-	https://www.realtor.ca/PropertyDetails.aspx?PropertyId=16770965
539000	3267	4	2	0	80	650	Mississauga	1353 Erinmore Dr	No Good	https://www.realtor.ca/Residential/Single-Family/16715734/1353-ERINMORE-DR-Mississauga-Ontario-L5C1N6-Erindale
575000	3355	4	2	0	80	650	Mississauga	3697 Ellengale Drive	No Space for another Room	https://www.realtor.ca/Residential/Single-Family/16754814/3697-ELLENGALE-DR-Mississauga-Ontario-L5C2A1-Erindale
499000	3181	5	2	0	80	650	Mississauga	3416 Martins Pine Crescent	"Excellent Condition, 20m Bus, 5m Car"	https://www.realtor.ca/Residential/Single-Family/16810049/3416-MARTINS-PINE-CRES-Mississauga-Ontario-L5L2G4-Erin-Mills
529000	2919	4	2	450	80	650	Mississauga	5 - 3265 South Millway	-	https://www.zolo.ca/mississauga-real-estate/3265-south-millway-/5
699000	3772	5	3	0	80	650	Mississauga	2182 Belfast Crescent	3/~2	https://www.zolo.ca/mississauga-real-estate/2182-belfast-crescent
649900	4221	5	4	0	80	650	Mississauga	3154 Valmarie Avenue	"4/~1, tacky"	https://www.zolo.ca/mississauga-real-estate/3154-valmarie-avenue
650000	3817	5	2	0	80	650	Mississauga	3710 Queenston Drive	4/~1	https://www.zolo.ca/mississauga-real-estate/3710-queenston-drive
445000	3000	5	3	341	80	650	Mississauga	3250 The Credit Woodlands	est. tax	https://www.realtor.ca/Residential/Single-Family/16806748/3250---3250-THE-CREDIT-WOOD-Mississauga-Ontario-L5C2J6-Erindale
475000	3100	5	4	550	80	650	Mississauga	#41 - 2199 BURNHAMTHORPE RD	est. tax	https://www.zolo.ca/mississauga-real-estate/2199-burnhamthorpe-road/41
429900	3000	5	3	392	80	650	Mississauga	#83 - 2288 THE COLLEGEWAY WAY	"est. tax, 4/~1, fees: 241+151"	https://www.zolo.ca/mississauga-real-estate/2288-the-collegeway-way/83
649800	3800	5	2	0	80	650	Mississauga	1195 Forestwood Drive	4/~1	https://www.zolo.ca/mississauga-real-estate/1195-forestwood-drive
409900	2377	4	2	302	80	650	Mississauga	34 - 3500 Glen Erin Drive	3/~1	https://www.zolo.ca/mississauga-real-estate/3500-glen-erin-drive/34
400000	2142	4	2	313	80	650	Mississauga	32 - 830 Stainton Drive	3/~1	https://www.zolo.ca/mississauga-real-estate/830-stainton-drive/32
460000	3500	5	3	0	0	600	Edmonton	10959 79 Avenue	-	https://www.zolo.ca/edmonton-real-estate/10959-79-avenue
419000	3400	4	2	0	0	600	Edmonton	11210 72 Avenue	-	https://www.zolo.ca/edmonton-real-estate/11210-72-avenue-
525000	3088	6	3	0	80	650	Mississauga	3726 Ellengale Drive	-	https://www.zolo.ca/mississauga-real-estate/3726-ellengale-drive
619000	3500	6	2	0	80	650	Mississauga	1301 Erinmore Drive	-	https://www.zolo.ca/mississauga-real-estate/1301-erinmore-drive
